Symbol,Name,year,asset,lev,sales,gross_profit,oper_income,net_income
A002700,신일전자,2019,100,44.09,146,24.85,1.08,2.95
A002710,TCC스틸,2019,314,168.92,437,7.22,2.94,1.15
A002720,국제약품,2019,135,120.81,111,47.68,5.01,-4.29
A002760,보락,2019,56,26.55,36,13.57,1.75,1.8
A002780,진흥기업,2019,326,234.47,547,8.18,5.13,3.72
A002790,아모레G,2019,8281,27.8,6284,73.87,7.93,4.49
A002810,삼영무역,2019,511,28.51,274,9.47,3.35,12.71
A002820,선창산업,2019,544,150.72,456,7.05,-4.11,-8.77
A002840,미원상사,2019,281,25,250,21.94,12.9,12.45
A002870,신풍제지,2019,186,169.45,157,15.67,7.24,12.46
A002880,대유에이텍,2019,1117,373.34,1285,15.74,2.44,1.39
A002900,동양물산,2019,629,327.31,617,16.36,2.22,0.85
A002920,유성기업,2019,396,29.6,260,8.68,4.72,7.97
A002960,한국쉘석유,2019,141,44.11,212,35.56,12.12,9.93
A002990,금호산업,2019,1337,255.23,1598,7.25,3.47,0.73
A003000,부광약품,2019,389,19,168,50.09,5.67,-4.42
A003010,혜인,2019,218,128.52,261,15.33,4.52,1.63
A003030,세아제강지주,2019,2449,81.06,2644,8.14,2.39,0.56
A003060,에이프로젠제약,2019,365,5.08,51,40.39,-3.85,-6.81
A003070,코오롱글로벌,2019,2218,374.17,3484,10.67,3.6,1.33
A003080,성보화학,2019,172,17.6,42,20.23,-10.4,-6.85
A003090,대웅,2019,1668,62.55,1366,46.38,7.87,5.22
A003120,일성신약,2019,370,6.95,48,37.52,-2.6,13.88
A003160,디아이,2019,215,50.99,110,29.99,-5.97,0.46
A003200,일신방직,2019,954,31.86,496,18.69,2.74,1.61
A003220,대원제약,2019,328,60.38,318,56.68,11.05,8.46
A003230,삼양식품,2019,470,63.52,544,28.91,14.4,11.04
A003240,태광산업,2019,4357,25.07,2918,34.9,9.99,5.74
A003280,흥아해운,2019,431,1293.83,102,5.54,-12.1,-50.27
A003300,한일홀딩스,2019,3300,89.39,1652,16.54,5.06,2.98
A003350,한국화장품제조,2019,84,75.28,76,14.87,1.71,-1.95
A003410,쌍용양회,2019,3329,84.68,1538,25.03,14.85,8.55
A003460,유화증권,2019,621,35.43,16,77.48,30.22,30.1
A003470,유안타증권,2019,12342,876.6,380,17.81,3.37,3.8
A003480,한진중공업홀딩스,2019,1861,416.17,878,13.3,4.38,3.46
A003490,대한항공,2019,27014,871.45,12683,12.17,2.03,-4.91
A003520,영진약품,2019,200,73.17,221,36.18,4.53,2.28
A003530,한화투자증권,2019,9878,754.98,348,22.17,7.12,6.27
A003540,대신증권,2019,19437,863.65,478,17.71,3.7,3.48
A003550,LG,2019,22435,17.95,6575,20.66,15.57,16.83
A003560,IHQ,2019,166,21.16,99,100,-7.09,-66.75
A003570,S&T중공업,2019,841,36.34,375,10.26,5.13,4.44
A003580,넥스트사이언스,2019,129,59.62,35,43.18,-12.44,-65.29
A003610,방림,2019,237,24.78,132,15,1.6,4.36
A003620,쌍용차,2019,2019,400.89,3624,7.38,-7.78,-9.42
A003650,미창석유,2019,295,14.51,324,9.33,5.4,5.48
A003670,포스코케미칼,2019,1730,71.93,1484,11.22,6.06,6.82
A003680,한성기업,2019,234,368.38,270,14.62,-3.06,-6.43
A003690,코리안리,2019,11733,377.73,8052,73.48,2.34,1.77
A003720,삼영화학,2019,107,141.41,111,10.25,-0.81,-1.7
A003780,진양산업,2019,55,32.8,62,24.56,14.78,11.03
A003830,대한화섬,2019,609,14.24,114,9.89,4.27,19.71
A003850,보령제약,2019,508,79.4,524,42.53,7.45,6.15
A003920,남양유업,2019,1056,15.8,1031,23.98,0.04,2.84
A003960,사조대림,2019,1071,152.64,1330,14.39,3.73,6.55
A004000,롯데정밀화학,2019,1793,20.06,1311,21.62,14.46,12.84
A004020,현대제철,2019,34366,99.41,20513,6.81,1.62,0.12
A004060,SG세계물산,2019,288,40.43,313,28.17,0.16,3.09
A004080,신흥,2019,147,66.79,123,24.99,2.44,1.66
A004090,한국석유,2019,293,111.11,485,10.64,1.27,-1.58
A004100,태양금속,2019,394,449.61,471,7.68,-3.74,-4.7
A004140,동방,2019,628,443.42,633,11.1,3.31,-1.37
A004150,한솔홀딩스,2019,666,46.1,542,11.16,2.18,4.85
A004170,신세계,2019,13018,136.05,6394,51.11,7.32,9.28
A004250,NPC,2019,404,42.07,454,14.07,4.37,3.16
A004270,남성,2019,205,138.34,73,25.9,0.63,-3.01
A004310,현대약품,2019,145,66.1,135,47.33,1.16,0.86
A004360,세방,2019,1108,35.32,723,9.78,2.23,0.76
A004370,농심,2019,2653,36.7,2344,30.63,3.36,3.03
A004380,삼익THK,2019,393,108.44,232,16.14,3.21,1.41
A004410,서울식품,2019,76,204.33,62,20.53,0.58,-3.23
A004430,송원산업,2019,894,105.32,814,20.44,7.28,4.3
A004440,삼일씨엔에스,2019,337,20.97,196,12.59,1.83,1.37
A004450,삼화왕관,2019,239,64.48,116,19.32,7.84,7.2
A004490,세방전지,2019,1511,43.24,1139,17.32,9.28,6.89
A004540,깨끗한나라,2019,538,231.35,594,14.37,0.87,-1.98
